Dia,Fecha,Formato,Horario_Mexico,Titulo_Espanol,Miniatura_Texto_ES,Titulo_Ingles,Miniatura_Texto_EN,Versiculo_Biblico,Hook_Audio_Primeros_5s,Intencion_Oracion,Canal_ES,Canal_EN,Badge_Hora,Color_Palabras_Sagradas,Color_Ultima_Palabra
Dia 11,Jueves 11,Largo 45m (22:00 PM Noche),06:00 AM / 22:00 PM,ORACIÓN DE LA NOCHE: ENTREGA TUS PENSAMIENTOS Y ENCUENTRA DESCANSO,DESCANSO EN DIOS,EVENING PRAYER: RELEASE RACING THOUGHTS AND SLEEP IN HIS EMBRACE,REST IN GOD,Salmos 4:8 / Psalm 4:8,"En paz me acostaré, y asimismo dormiré; porque solo Tú, SEÑOR, me haces vivir confiado.",Tranquilidad del alma para superar noches de insomnio o duelo.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 12,Viernes 12,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN POR TU PAREJA Y TU MATRIMONIO: QUE NADA ROMPA ESTA UNIÓN,SALVA TU MATRIMONIO,PRAYER FOR YOUR MARRIAGE: LET NO STRANGER TEAR APART WHAT GOD JOINED,HEAL YOUR MARRIAGE,Eclesiastés 4:12 / Eccl 4:12,Cordón de tres dobleces no se rompe pronto. Pon a Dios en el centro de tu amor.,"Reconciliación de parejas, paciencia, perdón y respeto en el hogar.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 13,Sábado 13,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,BENDICIÓN FINANCIERA PARA EL HOGAR: QUE NUNCA FALTE EL PAN EN TU MESA,PAN Y PROSPERIDAD,FINANCIAL BLESSING FOR THE HOME: MAY YOUR TABLE NEVER LACK BREAD,PROSPERITY AT HOME,Deuteronomio 28:8 / Deut 28:8,El SEÑOR mandará Su bendición sobre tus graneros y sobre todo lo que emprendas.,"Estabilidad en el alimento, el pago de cuentas y la abundancia familiar.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 14,Domingo 14,Largo 60m (06:00 AM) + Short,06:00 AM / 22:00 PM,DEVOCIONAL DE DOMINGO: DERRAMAMIENTO DEL ESPÍRITU SANTO EN TU VIDA,ESPÍRITU SANTO,SUNDAY DEVOTIONAL: OUTPOURING OF THE HOLY SPIRIT OVER YOUR LIFE,HOLY SPIRIT COME,Joel 2:28 / Joel 2:28,Cierra tus ojos un instante y deja que Su presencia llene cada rincón de tu ser.,"Bautismo de gozo, discernimiento y fuerza espiritual renovada.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 15,Lunes 15,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN DE MITAD DE MES: SE ABREN PUERTAS QUE NINGÚN HOMBRE PUEDE CERRAR,PUERTAS ABIERTAS,MID-MONTH PRAYER: DOORS ARE OPENING THAT NO HUMAN HAND CAN SHUT,DOORS WILL OPEN,Apocalipsis 3:8 / Revelation 3:8,Lo que parecía estancado hoy comienza a moverse por el poder de la palabra de Dios.,"Apertura laboral, contratos, trámites legales y buenas noticias esperadas.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 16,Martes 16,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN PARA ROMPER TODO MIEDO Y TIMIDEZ AL TOMAR DECISIONES,SIN MIEDO HOY,PRAYER TO CONQUER FEAR AND TIMIDITY: WALK IN DIVINE COURAGE,CONQUER FEAR,2 Timoteo 1:7 / 2 Timothy 1:7,"Dios no nos ha dado espíritu de cobardía, sino de poder, de amor y de dominio propio.","Seguridad para entrevistas, negocios, compras importantes y pasos de fe.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 17,Miércoles 17,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,DIOS DE MILAGROS: LO QUE ES IMPOSIBLE PARA EL HOMBRE ES POSIBLE PARA DIOS,DIOS DE MILAGROS,GOD OF MIRACLES: WHAT IS IMPOSSIBLE WITH MAN IS POSSIBLE WITH GOD,GOD OF MIRACLES,Lucas 1:37 / Luke 1:37,"Si los médicos o los números dijeron que no, escucha hoy la voz del que tiene la última palabra.","Casos desesperados, diagnósticos difíciles y resolución de crisis extremas.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 18,Jueves 18,Largo 45m (22:00 PM Noche),06:00 AM / 22:00 PM,ORACIÓN DE LA NOCHE: LIMPIEZA ESPIRITUAL ANTES DE DORMIR,LIMPIEZA Y PAZ,EVENING PRAYER: SPIRITUAL CLEANSING AND RESTORATION BEFORE SLEEP,CLEANSING & PEACE,Salmos 51:10 / Psalm 51:10,"Crea en mí, oh Dios, un corazón limpio, y renueva un espíritu recto dentro de mí.","Perdón de pecados cometidos durante el día, calma de remordimientos y descanso.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 19,Viernes 19,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,"ORACIÓN POR TUS NEGOCIOS, VENTAS Y TRABAJO: QUE DIOS BENDIGA TUS MANOS",BENDICE TU TRABAJO,"PRAYER OVER YOUR CAREER, BUSINESS, AND HANDIWORK: GOD BLESSES YOUR EFFORTS",BLESS YOUR WORK,Salmos 90:17 / Psalm 90:17,"Sea la belleza del Señor sobre nosotros, y confirma sobre nosotros la obra de nuestras manos.","Ventas, clientes honestos, ascensos, estabilidad laboral y nuevos proyectos.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 20,Sábado 20,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN DE PERDÓN Y LIBERACIÓN: SUELTA EL PASADO Y RECIBE LO NUEVO,SUELTA EL PASADO,"PRAYER OF FORGIVENESS AND RELEASE: LET GO OF HURT, EMBRACE NEW LIFE",LET GO OF HURT,Efesios 4:31-32 / Eph 4:31-32,El rencor es un veneno que tomas tú esperando que dañe a otros. Hoy el SEÑOR te hace libre.,"Sanidad emocional de heridas infantiles, divorcios y ofensas pasadas.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 21,Domingo 21,Largo 60m (06:00 AM) + Short,06:00 AM / 22:00 PM,"DEVOCIONAL DE DOMINGO: EL SEÑOR ES MI PASTOR, NADA ME FALTARÁ",SALMO 23 COMPLETO,"SUNDAY DEVOTIONAL: THE LORD IS MY SHEPHERD, I SHALL NOT WANT",PSALM 23 PRAYER,Salmos 23:1-6 / Psalm 23:1-6,En lugares de delicados pastos me hará descansar; junto a aguas de reposo me pastoreará.,El salmo más reconfortante de la historia humana rezado verso a verso.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 22,Lunes 22,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN PARA LA ÚLTIMA SEMANA: FUERZA PARA TERMINAR EN VICTORIA,TERMINA EN VICTORIA,PRAYER FOR THE FINAL STRETCH: STRENGTH TO FINISH IN TRIUMPH,FINISH IN TRIUMPH,Gálatas 6:9 / Galatians 6:9,"No nos cansemos de hacer el bien, porque a su debido tiempo segaremos si no desmayamos.","Perseverancia, energía ante el cansancio acumulado del mes.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 23,Martes 23,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN POR TUS PADRES Y ABUELOS: BENDICE A LOS QUE NOS DIERON VIDA,HONRA A TUS PADRES,PRAYER FOR PARENTS AND ELDERS: BLESS AND PROTECT THOSE WHO NURTURED US,HONOR YOUR PARENTS,Éxodo 20:12 / Exodus 20:12,"Que la mano de Dios cuide a nuestros mayores, dándoles días largos de salud y dignidad.","Intercesión generacional, consuelo a personas mayores y honra familiar.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 24,Miércoles 24,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,DIOS PROVEE EN EL DESIERTO: NUNCA DUDES DE SU FIDELIDAD,DIOS PROVEE SIEMPRE,GOD PROVIDES IN THE WILDERNESS: NEVER DOUBT HIS UNFAILING LOVE,HE WILL PROVIDE,Mateo 6:26 / Matthew 6:26,"Mirad las aves del cielo: no siembran ni siegan, y vuestro Padre celestial las alimenta.",Combate al pánico financiero ante compromisos de fin de mes.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 25,Jueves 25,Largo 45m (22:00 PM Noche),06:00 AM / 22:00 PM,"ORACIÓN DE LA NOCHE: DUERME TRANQUILO, DIOS GUARDA TU MAÑANA",DUERME TRANQUILO,"EVENING PRAYER: SLEEP PEACEFULLY, GOD ALREADY HOLDS TOMORROW",SLEEP PEACEFULLY,Salmos 121:1-8 / Psalm 121:1-8,No se adormecerá ni dormirá el que guarda a Israel. Tu guardador es el SEÑOR.,"Paz interior profunda, protección divina durante las horas de sombra.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 26,Viernes 26,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN DE AGRADECIMIENTO POR LAS PRUEBAS QUE TE HICIERON FUERTE,GRACIAS POR LA PRUEBA,PRAYER OF THANKS FOR THE TRIALS THAT BUILT YOUR FAITH AND STRENGTH,TRIALS TO BLESSINGS,Santiago 1:2-4 / James 1:2-4,"Lo que el enemigo planeó para destruirte, Dios lo usó para forjar tu testimonio más grande.","Resiliencia espiritual, madurez y gratitud por lecciones difíciles superadas.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 27,Sábado 27,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,"DECLARACIÓN DE PROTECCIÓN TOTAL SOBRE TU CASA, VEHÍCULO Y CAMINOS",PROTECCIÓN TOTAL,"DIVINE SHIELD OVER YOUR HOME, TRAVEL, AND GOINGS: ANGELS WATCH OVER YOU",DIVINE SHIELD,Salmos 91:11-12 / Psalm 91:11-12,"A Sus ángeles mandará cerca de ti, para que te guarden en todos tus caminos.","Seguridad en traslados, viajes de fin de semana y protección contra accidentes.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 28,Domingo 28,Largo 60m (06:00 AM) + Short,06:00 AM / 22:00 PM,DEVOCIONAL DE DOMINGO: ALABANZA SUPREMA Y GRATITUD DE TODO CORAZÓN,ALABANZA SUPREMA,SUNDAY DEVOTIONAL: SUPREME PRAISE AND WHOLEHEARTED THANKSGIVING,SUPREME PRAISE,Salmos 100:1-5 / Psalm 100:1-5,"Entrad por Sus puertas con acción de gracias, por Sus atrios con alabanza; alabadle, bendecid Su nombre.",Comunión íntima dominical y adoración pura.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 29,Lunes 29,Largo 45m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN DE CIERRE DE MES: BENDITO SEA EL SEÑOR QUE NOS HA SOSTENIDO,DIOS ME SOSTUVO,MONTH-END PRAYER: BLESSED BE THE LORD WHO HAS CARRIED US THROUGH,GOD CARRIED US,1 Samuel 7:12 / 1 Samuel 7:12,"Hasta aquí nos ayudó el SEÑOR. Ningún día estuviste solo, Su mano te levantó.",Balance espiritual mensual y agradecimiento por todas las oraciones contestadas.,@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
Dia 30,Martes 30,Oración 15m (06:00 AM) + Short,06:00 AM / 22:00 PM,ORACIÓN PARA RECIBIR EL NUEVO MES: UN MES DE BENDICIÓN Y PROSPERIDAD,NUEVO MES DE FE,PRAYER TO WELCOME THE NEW MONTH: A SEASON OF OVERFLOWING FAVOR,NEW MONTH OF FAVOR,Isaías 43:18-19 / Isaiah 43:18-19,He aquí que Yo hago cosa nueva; pronto saldrá a luz; ¿no la conoceréis? Otra vez abriré camino.,"Expectativa de fe, apertura de nuevos horizontes y bendición anticipada.",@AgradecimientoSincero,@EternallyGratefulDaily,6:00 AM,#2563EB (Azul Rey Celestial),#A855F7 (Morado Purpura)
